particle#, xPos, yPos
9.0, 16080.47528519839, 22670.78081790335
9.0, 16152.868619151845, 22540.717828124565
9.0, 16146.971556987028, 22585.020659777325
9.0, 16185.663574388229, 22517.11364330146
9.0, 16153.813111126863, 22517.894391078087
9.0, 16138.963239799998, 22450.683833167204
9.0, 16212.673148244028, 22410.71347011675
9.0, 16268.037184698065, 22419.05558401856
9.0, 16117.276044394543, 22402.45171126896
9.0, 16085.781907840053, 22332.865297617387
9.0, 16114.133970359208, 22233.45684124695
9.0, 16135.045212541349, 22315.015675126582
9.0, 16127.215223104258, 22298.448778561436
9.0, 16219.516476072238, 22383.806668289948
9.0, 16301.261873312751, 22300.625283722165
9.0, 16341.228764933816, 22336.306074087726
9.0, 16261.305342225243, 22293.62401834367
9.0, 16355.445637449775, 22297.620562290336
9.0, 16252.880765974889, 22400.486316579565
9.0, 16242.502963087158, 22422.56974293715
9.0, 16256.773550249145, 22465.06272126866
9.0, 16307.141329208409, 22452.64144326885
9.0, 16224.633685394794, 22451.73856590296
9.0, 16156.577500586734, 22472.045052337977
9.0, 16195.113027956684, 22516.489096323407
9.0, 16254.515653512664, 22587.850956871273
9.0, 16244.104708338826, 22578.20446962878
9.0, 16262.90485918902, 22563.89341461722
9.0, 16275.732696722933, 22661.232570459444
9.0, 16370.283533685737, 22654.03132256532
9.0, 16319.826574267967, 22734.11840569336
9.0, 16373.37109850217, 22719.36319486836
9.0, 16441.167141332637, 22755.487343286102
9.0, 16477.8633643377, 22906.90453290615
9.0, 16480.924472223876, 22831.206363182468
9.0, 16566.58773804302, 22804.87802797554
9.0, 16560.367943580328, 22768.357090760986
10.0, 2275.016722147574, 19150.242999081398
10.0, 2324.7640437350274, 19129.960925989435
10.0, 2317.8179872721253, 19244.934406932513
10.0, 2325.969837627764, 19241.032399438198
10.0, 2302.618410916152, 19237.560207806448
10.0, 2283.064036448757, 19190.404292350417
10.0, 2307.823298869332, 19196.91126198188
10.0, 2303.2434542529018, 19273.44880910128
10.0, 2383.4470963669064, 19211.967657012705
10.0, 2366.9856537846895, 19208.49837664243
10.0, 2365.4076316147234, 19157.441724999255
10.0, 2274.7050627275507, 19166.169998523994
10.0, 2202.9247433731275, 19184.681891978234
11.0, 6607.247085272952, 11293.160526965925
11.0, 6575.247718095387, 11299.514011411884
11.0, 6637.322879418886, 11376.399688466376
11.0, 6639.4112327247, 11302.055093616198
11.0, 6592.801399901455, 11281.025140345953
11.0, 6659.669457388692, 11282.274029024786
11.0, 6654.119288923034, 11337.190976601592
11.0, 6691.827438120909, 11363.926338448504
11.0, 6726.630855043971, 11346.101386253957
12.0, 17530.485116921347, 8854.259987995925
12.0, 17565.905523838683, 8858.760954741623
12.0, 17640.26469071399, 8761.212248672442
12.0, 17675.53619186841, 8798.441008432594
12.0, 17602.3111561195, 8823.237804556682
